team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
COL,8479525,https://assets.nhle.com/mugs/nhl/20242025/COL/8479525.png,Ross,Colton,20,C,L,72,194,183,88,1996-09-11,Robbinsville,NJ,USA
COL,8475745,https://assets.nhle.com/mugs/nhl/20242025/COL/8475745.png,Charlie,Coyle,10,C,R,75,215,191,98,1992-03-02,East Weymouth,MA,USA
COL,8477494,https://assets.nhle.com/mugs/nhl/20242025/COL/8477494.png,Jonathan,Drouin,27,L,L,71,198,180,90,1995-03-28,Ste-Agathe,QC,CAN
COL,8480835,https://assets.nhle.com/mugs/nhl/20242025/COL/8480835.png,Jack,Drury,18,C,L,71,186,180,84,2000-02-03,New York,NY,USA
COL,8480448,https://assets.nhle.com/mugs/nhl/20242025/COL/8480448.png,Parker,Kelly,17,C,L,73,185,185,84,1999-05-14,Camrose,AB,CAN
COL,8481641,https://assets.nhle.com/mugs/nhl/20242025/COL/8481641.png,Joel,Kiviranta,94,L,L,71,185,180,84,1996-03-23,Vantaa,,FIN
COL,8477476,https://assets.nhle.com/mugs/nhl/20242025/COL/8477476.png,Artturi,Lehkonen,62,L,L,71,179,180,81,1995-07-04,Piikkio,,FIN
COL,8477492,https://assets.nhle.com/mugs/nhl/20242025/COL/8477492.png,Nathan,MacKinnon,29,C,R,72,200,183,91,1995-09-01,Halifax,NS,CAN
COL,8480039,https://assets.nhle.com/mugs/nhl/20242025/COL/8480039.png,Martin,Necas,88,C,R,75,195,191,88,1999-01-15,Nove Mesto na Morave,,CZE
COL,8475754,https://assets.nhle.com/mugs/nhl/20242025/COL/8475754.png,Brock,Nelson,11,C,L,76,205,193,93,1991-10-15,Warroad,MN,USA
COL,8477501,https://assets.nhle.com/mugs/nhl/20242025/COL/8477501.png,Valeri,Nichushkin,13,R,L,76,210,193,95,1995-03-04,Chelyabinsk,,RUS
COL,8481186,https://assets.nhle.com/mugs/nhl/20242025/COL/8481186.png,Logan,O'Connor,25,R,R,72,175,183,79,1996-08-14,Missouri City,TX,USA
COL,8476918,https://assets.nhle.com/mugs/nhl/20242025/COL/8476918.png,Jimmy,Vesey,26,L,L,74,203,188,92,1993-05-26,Boston,MA,USA
COL,8477425,https://assets.nhle.com/mugs/nhl/20242025/COL/8477425.png,Miles,Wood,28,L,L,74,195,188,88,1995-09-13,Buffalo,NY,USA
COL,8479398,https://assets.nhle.com/mugs/nhl/20242025/COL/8479398.png,Samuel,Girard,49,D,L,70,170,178,77,1998-05-12,Roberval,QC,CAN
COL,8473446,https://assets.nhle.com/mugs/nhl/20242025/COL/8473446.png,Erik,Johnson,6,D,R,76,225,193,102,1988-03-21,Bloomington,MN,USA
COL,8479324,https://assets.nhle.com/mugs/nhl/20242025/COL/8479324.png,Ryan,Lindgren,55,D,L,72,194,183,88,1998-02-11,Burnsville,MN,USA
COL,8480069,https://assets.nhle.com/mugs/nhl/20242025/COL/8480069.png,Cale,Makar,8,D,R,72,187,183,85,1998-10-30,Calgary,AB,CAN
COL,8484258,https://assets.nhle.com/mugs/nhl/20242025/COL/8484258.png,Sam,Malinski,70,D,R,71,190,180,86,1998-07-27,Lakeville,MN,USA
COL,8476312,https://assets.nhle.com/mugs/nhl/20242025/COL/8476312.png,Josh,Manson,42,D,R,75,218,191,99,1991-10-07,Hinsdale,IL,USA
COL,8479387,https://assets.nhle.com/mugs/nhl/20242025/COL/8479387.png,Keaton,Middleton,67,D,L,78,240,198,109,1998-02-10,Edmonton,AB,CAN
COL,8478038,https://assets.nhle.com/mugs/nhl/20242025/COL/8478038.png,Devon,Toews,7,D,L,73,191,185,87,1994-02-21,Abbotsford,BC,CAN
COL,8478406,https://assets.nhle.com/mugs/nhl/20242025/COL/8478406.png,Mackenzie,Blackwood,39,G,L,76,225,193,102,1996-12-09,Thunder Bay,ON,CAN
COL,8475809,https://assets.nhle.com/mugs/nhl/20242025/COL/8475809.png,Scott,Wedgewood,41,G,L,74,201,188,91,1992-08-14,Brampton,ON,CAN
