team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
DAL,8473994,https://assets.nhle.com/mugs/nhl/20242025/DAL/8473994.png,Jamie,Benn,14,L,L,75,206,191,93,1989-07-18,Victoria,BC,CAN
DAL,8476278,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476278.png,Colin,Blackwell,15,C,R,68,190,173,86,1993-03-28,North Andover,MA,USA
DAL,8482145,https://assets.nhle.com/mugs/nhl/20242025/DAL/8482145.png,Mavrik,Bourque,22,C,R,71,181,180,82,2002-01-08,Plessisville,QC,CAN
DAL,8480840,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480840.png,Oskar,Bäck,10,C,L,76,202,193,92,2000-03-12,Karlstad,,SWE
DAL,8474149,https://assets.nhle.com/mugs/nhl/20242025/DAL/8474149.png,Evgenii,Dadonov,63,R,L,71,188,180,85,1989-03-12,Chelyabinsk,,RUS
DAL,8475168,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475168.png,Matt,Duchene,95,C,L,71,212,180,96,1991-01-16,Haliburton,ON,CAN
DAL,8475798,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475798.png,Mikael,Granlund,64,C,L,70,185,178,84,1992-02-26,Oulu,,FIN
DAL,8478449,https://assets.nhle.com/mugs/nhl/20242025/DAL/8478449.png,Roope,Hintz,24,C,L,75,213,191,97,1996-11-17,Nokia,,FIN
DAL,8482740,https://assets.nhle.com/mugs/nhl/20242025/DAL/8482740.png,Wyatt,Johnston,53,C,R,73,185,185,84,2003-05-14,Toronto,ON,CAN
DAL,8478975,https://assets.nhle.com/mugs/nhl/20242025/DAL/8478975.png,Mason,Marchment,27,L,L,77,212,196,96,1995-06-18,Uxbridge,ON,CAN
DAL,8478420,https://assets.nhle.com/mugs/nhl/20242025/DAL/8478420.png,Mikko,Rantanen,96,R,L,76,215,193,98,1996-10-29,Nousiainen,,FIN
DAL,8480027,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480027.png,Jason,Robertson,21,L,L,75,207,191,94,1999-07-22,Arcadia,CA,USA
DAL,8475794,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475794.png,Tyler,Seguin,91,C,R,74,201,188,91,1992-01-31,Brampton,ON,CAN
DAL,8479351,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479351.png,Sam,Steel,18,C,L,72,189,183,86,1998-02-03,Ardrossan,AB,CAN
DAL,8483425,https://assets.nhle.com/mugs/nhl/20242025/DAL/8483425.png,Lian,Bichsel,6,D,L,79,231,201,105,2004-05-18,Olten,,CHE
DAL,8476879,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476879.png,Cody,Ceci,44,D,R,75,210,191,95,1993-12-21,Ottawa,ON,CAN
DAL,8476856,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476856.png,Mathew,Dumba,3,D,R,73,185,185,84,1994-07-25,Regina,SK,CAN
DAL,8481581,https://assets.nhle.com/mugs/nhl/20242025/DAL/8481581.png,Thomas,Harley,55,D,L,75,211,191,96,2001-08-19,Syracuse,NY,USA
DAL,8480036,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png,Miro,Heiskanen,4,D,L,74,197,188,89,1999-07-18,Espoo,,FIN
DAL,8476902,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476902.png,Esa,Lindell,23,D,L,75,217,191,98,1994-05-23,Vantaa,,FIN
DAL,8480878,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480878.png,Nils,Lundkvist,5,D,R,73,191,185,87,2000-07-27,Pitea,,SWE
DAL,8480950,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480950.png,Ilya,Lyubushkin,46,D,R,74,200,188,91,1994-04-06,Moscow,,RUS
DAL,8475755,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475755.png,Alexander,Petrovic,28,D,R,77,211,196,96,1992-03-03,Edmonton,AB,CAN
DAL,8474090,https://assets.nhle.com/mugs/nhl/20242025/DAL/8474090.png,Brendan,Smith,2,D,L,74,200,188,91,1989-02-08,Mimico,ON,CAN
DAL,8479193,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479193.png,Casey,DeSmith,1,G,L,72,180,183,82,1991-08-13,Rochester,NH,USA
DAL,8484835,https://assets.nhle.com/mugs/nhl/20242025/DAL/8484835.png,Ben,Kraws,32,G,L,77,199,196,90,2000-08-02,Cranbury,NJ,USA
DAL,8479979,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479979.png,Jake,Oettinger,29,G,L,78,224,198,102,1998-12-18,Lakeville,MN,USA
