team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
EDM,8478042,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478042.png,Viktor,Arvidsson,33,L,R,70,185,178,84,1993-04-08,Skelleftea,,SWE
EDM,8477015,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477015.png,Connor,Brown,28,R,R,72,184,183,83,1994-01-14,Toronto,ON,CAN
EDM,8477934,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477934.png,Leon,Draisaitl,29,C,L,74,209,188,95,1995-10-27,Cologne,,DEU
EDM,8479365,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479365.png,Trent,Frederic,21,C,L,75,221,191,100,1998-02-11,St. Louis,MO,USA
EDM,8474641,https://assets.nhle.com/mugs/nhl/20242025/EDM/8474641.png,Adam,Henrique,19,C,L,72,195,183,88,1990-02-06,Brantford,ON,CAN
EDM,8485511,https://assets.nhle.com/mugs/nhl/20242025/EDM/8485511.png,Quinn,Hutson,20,R,R,71,170,180,77,2002-01-01,North Barrington,IL,USA
EDM,8475786,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475786.png,Zach,Hyman,18,L,R,73,206,185,93,1992-06-09,Toronto,ON,CAN
EDM,8477406,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477406.png,Mattias,Janmark,13,C,L,74,205,188,93,1992-12-08,Danderyd,,SWE
EDM,8479368,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479368.png,Max,Jones,46,L,L,75,216,191,98,1998-02-17,Rochester,MI,USA
EDM,8475169,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475169.png,Evander,Kane,91,L,L,74,218,188,99,1991-08-02,Vancouver,BC,CAN
EDM,8477953,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477953.png,Kasperi,Kapanen,42,R,R,73,194,185,88,1996-07-23,Kuopio,,FIN
EDM,8478402,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478402.png,Connor,McDavid,97,C,L,73,194,185,88,1997-01-13,Richmond Hill,ON,CAN
EDM,8476454,https://assets.nhle.com/mugs/nhl/20242025/EDM/8476454.png,Ryan,Nugent-Hopkins,93,C,L,73,192,185,87,1993-04-12,Burnaby,BC,CAN
EDM,8470621,https://assets.nhle.com/mugs/nhl/20242025/EDM/8470621.png,Corey,Perry,90,R,R,75,208,191,94,1985-05-16,Peterborough,ON,CAN
EDM,8481617,https://assets.nhle.com/mugs/nhl/20242025/EDM/8481617.png,Vasily,Podkolzin,92,R,L,73,190,185,86,2001-06-24,Moscow,,RUS
EDM,8478585,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478585.png,Derek,Ryan,10,C,R,70,185,178,84,1986-12-29,Spokane,WA,USA
EDM,8475784,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475784.png,Jeff,Skinner,53,C,L,71,200,180,91,1992-05-16,Toronto,ON,CAN
EDM,8480803,https://assets.nhle.com/mugs/nhl/20242025/EDM/8480803.png,Evan,Bouchard,2,D,R,75,192,191,87,1999-10-20,Oakville,ON,CAN
EDM,8477384,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477384.png,Joshua,Brown,44,D,R,77,220,196,100,1994-01-21,London,ON,CAN
EDM,8479341,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479341.png,Cam,Dineen,85,D,L,71,188,180,85,1998-06-19,Toms River,NJ,USA
EDM,8475218,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475218.png,Mattias,Ekholm,14,D,L,77,225,196,102,1990-05-24,Borlange,,SWE
EDM,8480834,https://assets.nhle.com/mugs/nhl/20242025/EDM/8480834.png,Ty,Emberson,49,D,R,74,193,188,88,2000-05-23,Eau Claire,WI,USA
EDM,8475906,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475906.png,John,Klingberg,36,D,R,74,185,188,84,1992-08-14,Gothenburg,,SWE
EDM,8476967,https://assets.nhle.com/mugs/nhl/20242025/EDM/8476967.png,Brett,Kulak,27,D,L,74,192,188,87,1994-01-06,Edmonton,AB,CAN
EDM,8477498,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477498.png,Darnell,Nurse,25,D,L,76,215,193,98,1995-02-04,Hamilton,ON,CAN
EDM,8479442,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479442.png,Troy,Stecher,51,D,R,70,184,178,83,1994-04-07,Richmond,BC,CAN
EDM,8478013,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478013.png,Jake,Walman,96,D,L,73,218,185,99,1996-02-20,Toronto,ON,CAN
EDM,8475717,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475717.png,Calvin,Pickard,30,G,L,73,206,185,93,1992-04-15,Moncton,NB,CAN
EDM,8479973,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479973.png,Stuart,Skinner,74,G,L,76,230,193,104,1998-11-01,Edmonton,AB,CAN
