team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
LAK,8482124,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482124.png,Quinton,Byfield,55,R,L,77,225,196,102,2002-08-19,Newmarket,ON,CAN
LAK,8476479,https://assets.nhle.com/mugs/nhl/20242025/LAK/8476479.png,Phillip,Danault,24,C,L,73,200,185,91,1993-02-24,Victoriaville,QC,CAN
LAK,8477942,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477942.png,Kevin,Fiala,22,L,L,72,205,183,93,1996-07-22,St. Gallen,,CHE
LAK,8477998,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477998.png,Warren,Foegele,37,L,L,74,204,188,93,1996-04-01,Markham,ON,CAN
LAK,8482726,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482726.png,Samuel,Helenius,79,C,L,78,201,198,91,2002-11-26,Dallas,TX,USA
LAK,8479661,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479661.png,Tanner,Jeannot,10,L,L,74,220,188,100,1997-05-29,Estevan,SK,CAN
LAK,8477960,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477960.png,Adrian,Kempe,9,R,L,74,200,188,91,1996-09-13,Kramfors,,SWE
LAK,8471685,https://assets.nhle.com/mugs/nhl/20242025/LAK/8471685.png,Anze,Kopitar,11,C,L,75,225,191,102,1987-08-24,Jesenice,,SVN
LAK,8483808,https://assets.nhle.com/mugs/nhl/20242025/LAK/8483808.png,Andrei,Kuzmenko,96,L,R,71,194,180,88,1996-02-04,Yakutsk,,RUS
LAK,8482155,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482155.png,Alex,Laferriere,14,R,R,73,205,185,93,2001-10-28,Chatham,NJ,USA
LAK,8473453,https://assets.nhle.com/mugs/nhl/20242025/LAK/8473453.png,Trevor,Lewis,61,C,R,73,205,185,93,1987-01-08,Salt Lake City,UT,USA
LAK,8482408,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482408.png,Jeff,Malott,39,L,L,77,208,196,94,1996-08-07,Burlington,ON,CAN
LAK,8479675,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479675.png,Trevor,Moore,12,L,L,71,195,180,88,1995-03-31,Thousand Oaks,CA,USA
LAK,8480851,https://assets.nhle.com/mugs/nhl/20242025/LAK/8480851.png,Akil,Thomas,26,C,R,72,195,183,88,2000-01-02,Toronto,ON,CAN
LAK,8481532,https://assets.nhle.com/mugs/nhl/20242025/LAK/8481532.png,Alex,Turcotte,15,C,L,71,185,180,84,2001-02-26,Elk Grove,IL,USA
LAK,8483406,https://assets.nhle.com/mugs/nhl/20242025/LAK/8483406.png,Taylor,Ward,52,R,R,74,207,188,94,1998-03-31,Kelowna,BC,CAN
LAK,8479998,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479998.png,Mikey,Anderson,44,D,L,72,195,183,88,1999-05-25,Roseville,MN,USA
LAK,8477335,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477335.png,Kyle,Burroughs,7,D,R,72,193,183,88,1995-07-12,Vancouver,BC,CAN
LAK,8482730,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482730.png,Brandt,Clarke,92,D,R,74,200,188,91,2003-02-09,Nepean,ON,CAN
LAK,8474563,https://assets.nhle.com/mugs/nhl/20242025/LAK/8474563.png,Drew,Doughty,8,D,R,73,210,185,95,1989-12-08,London,ON,CAN
LAK,8476441,https://assets.nhle.com/mugs/nhl/20242025/LAK/8476441.png,Joel,Edmundson,6,D,L,77,221,196,100,1993-06-28,Brandon,MB,CAN
LAK,8478882,https://assets.nhle.com/mugs/nhl/20242025/LAK/8478882.png,Vladislav,Gavrikov,84,D,L,75,220,191,100,1995-11-21,Yaroslavl,,RUS
LAK,8479421,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479421.png,Jacob,Moverare,43,D,L,75,210,191,95,1998-08-31,Ostersund,,SWE
LAK,8481606,https://assets.nhle.com/mugs/nhl/20242025/LAK/8481606.png,Jordan,Spence,21,D,R,71,180,180,82,2001-02-24,Manly,,AUS
LAK,8475311,https://assets.nhle.com/mugs/nhl/20242025/LAK/8475311.png,Darcy,Kuemper,35,G,L,77,215,196,98,1990-05-05,Saskatoon,SK,CAN
LAK,8479496,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479496.png,David,Rittich,31,G,L,76,205,193,93,1992-08-19,Jihlava,,CZE
