team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
MIN,8481557,https://assets.nhle.com/mugs/nhl/20242025/MIN/8481557.png,Matt,Boldy,12,L,L,74,201,188,91,2001-04-05,Milford,MA,USA
MIN,8479638,https://assets.nhle.com/mugs/nhl/20242025/MIN/8479638.png,Justin,Brazeau,15,R,R,78,227,198,103,1998-02-02,New Liskeard,ON,CAN
MIN,8478493,https://assets.nhle.com/mugs/nhl/20242025/MIN/8478493.png,Joel,Eriksson Ek,14,C,L,75,207,191,94,1997-01-29,Karlstad,,SWE
MIN,8475220,https://assets.nhle.com/mugs/nhl/20242025/MIN/8475220.png,Marcus,Foligno,17,L,L,75,226,191,103,1991-08-10,Buffalo,NY,USA
MIN,8477919,https://assets.nhle.com/mugs/nhl/20242025/MIN/8477919.png,Frederick,Gaudreau,89,C,R,72,184,183,83,1993-05-01,Bromont,QC,CAN
MIN,8477451,https://assets.nhle.com/mugs/nhl/20242025/MIN/8477451.png,Ryan,Hartman,38,R,R,72,197,183,89,1994-09-20,Hilton Head Island,SC,USA
MIN,8476994,https://assets.nhle.com/mugs/nhl/20242025/MIN/8476994.png,Vinnie,Hinostroza,18,C,R,70,183,178,83,1994-04-03,Chicago,IL,USA
MIN,8475149,https://assets.nhle.com/mugs/nhl/20242025/MIN/8475149.png,Marcus,Johansson,90,L,L,73,203,185,92,1990-10-06,Landskrona,,SWE
MIN,8478864,https://assets.nhle.com/mugs/nhl/20242025/MIN/8478864.png,Kirill,Kaprizov,97,L,L,70,202,178,92,1997-04-26,Novokuznetsk,,RUS
MIN,8474679,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474679.png,Gustav,Nyquist,41,C,L,71,180,180,82,1989-09-01,Halmstad,,SWE
MIN,8482079,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482079.png,Marco,Rossi,23,C,L,69,182,175,83,2001-09-23,Feldkirch,,AUT
MIN,8478508,https://assets.nhle.com/mugs/nhl/20242025/MIN/8478508.png,Yakov,Trenin,13,C,L,74,201,188,91,1997-01-13,Chelyabinsk,,RUS
MIN,8475692,https://assets.nhle.com/mugs/nhl/20242025/MIN/8475692.png,Mats,Zuccarello,36,R,L,68,181,173,82,1987-09-01,Oslo,,NOR
MIN,8474567,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474567.png,Zach,Bogosian,24,D,R,75,231,191,105,1990-07-15,Massena,NY,USA
MIN,8476463,https://assets.nhle.com/mugs/nhl/20242025/MIN/8476463.png,Jonas,Brodin,25,D,L,74,196,188,89,1993-07-12,Karlstad,,SWE
MIN,8484798,https://assets.nhle.com/mugs/nhl/20242025/MIN/8484798.png,Zeev,Buium,8,D,L,72,183,183,83,2005-12-07,San Diego,CA,USA
MIN,8480990,https://assets.nhle.com/mugs/nhl/20242025/MIN/8480990.png,Declan,Chisholm,47,D,L,73,190,185,86,2000-01-12,Bowmanville,ON,CAN
MIN,8482122,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482122.png,Brock,Faber,7,D,R,73,200,185,91,2002-08-22,Maple Grove,MN,USA
MIN,8475750,https://assets.nhle.com/mugs/nhl/20242025/MIN/8475750.png,Jon,Merrill,4,D,L,75,204,191,93,1992-02-03,Oklahoma City,OK,USA
MIN,8478136,https://assets.nhle.com/mugs/nhl/20242025/MIN/8478136.png,Jake,Middleton,5,D,L,75,219,191,99,1996-01-02,Wainwright,AB,CAN
MIN,8474716,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474716.png,Jared,Spurgeon,46,D,R,69,166,175,75,1989-11-29,Edmonton,AB,CAN
MIN,8470594,https://assets.nhle.com/mugs/nhl/20242025/MIN/8470594.png,Marc-Andre,Fleury,29,G,L,74,185,188,84,1984-11-28,Sorel,QC,CAN
MIN,8479406,https://assets.nhle.com/mugs/nhl/20242025/MIN/8479406.png,Filip,Gustavsson,32,G,L,74,184,188,83,1998-06-07,Skelleftea,,SWE
