team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
MTL,8476981,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476981.png,Josh,Anderson,17,R,R,75,226,191,103,1994-05-07,Burlington,ON,CAN
MTL,8476469,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476469.png,Joel,Armia,40,R,R,75,216,191,98,1993-05-31,Pori,,FIN
MTL,8481540,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481540.png,Cole,Caufield,13,R,R,68,175,173,79,2001-01-02,Mosinee,WI,USA
MTL,8481523,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481523.png,Kirby,Dach,77,C,R,76,221,193,100,2001-01-21,Fort Saskatchewan,AB,CAN
MTL,8484984,https://assets.nhle.com/mugs/nhl/20242025/MTL/8484984.png,Ivan,Demidov,93,R,L,73,192,185,87,2005-12-10,Sergiyev Posad,,RUS
MTL,8477989,https://assets.nhle.com/mugs/nhl/20242025/MTL/8477989.png,Christian,Dvorak,28,C,L,73,190,185,86,1996-02-02,Palos,IL,USA
MTL,8478133,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478133.png,Jake,Evans,71,C,R,72,190,183,86,1996-06-02,Toronto,ON,CAN
MTL,8475848,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475848.png,Brendan,Gallagher,11,R,R,69,185,175,84,1992-05-06,Edmonton,AB,CAN
MTL,8482476,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482476.png,Emil,Heineman,51,L,L,74,198,188,90,2001-11-16,Leksand,,SWE
MTL,8482775,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482775.png,Oliver,Kapanen,91,C,R,74,194,188,88,2003-07-29,Timra,,SWE
MTL,8479339,https://assets.nhle.com/mugs/nhl/20242025/MTL/8479339.png,Patrik,Laine,92,R,R,76,208,193,94,1998-04-19,Tampere,,FIN
MTL,8481618,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481618.png,Alex,Newhook,15,C,L,71,200,180,91,2001-01-28,St. John's,NL,CAN
MTL,8479543,https://assets.nhle.com/mugs/nhl/20242025/MTL/8479543.png,Michael,Pezzetta,55,L,L,73,219,185,99,1998-03-13,Toronto,ON,CAN
MTL,8483515,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483515.png,Juraj,Slafkovský,20,L,L,75,225,191,102,2004-03-30,Kosice,,SVK
MTL,8480018,https://assets.nhle.com/mugs/nhl/20242025/MTL/8480018.png,Nick,Suzuki,14,C,R,71,207,180,94,1999-08-10,London,ON,CAN
MTL,8478851,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478851.png,Alexandre,Carrier,45,D,R,71,174,180,79,1996-10-08,Quebec City,QC,CAN
MTL,8482087,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482087.png,Kaiden,Guhle,21,D,L,75,202,191,92,2002-01-18,Edmonton,AB,CAN
MTL,8483457,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483457.png,Lane,Hutson,48,D,L,69,162,175,73,2004-02-14,Holland,MI,USA
MTL,8476875,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476875.png,Mike,Matheson,8,D,L,74,196,188,89,1994-02-27,Pointe-Claire,QC,CAN
MTL,8475233,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475233.png,David,Savard,58,D,R,73,235,185,107,1990-10-22,St-Hyacinthe,QC,CAN
MTL,8481593,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481593.png,Jayden,Struble,47,D,L,72,207,183,94,2001-09-08,Cumberland,RI,USA
MTL,8482964,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482964.png,Arber,Xhekaj,72,D,L,76,240,193,109,2001-01-30,Hamilton,ON,CAN
MTL,8482487,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482487.png,Jakub,Dobes,75,G,L,76,215,193,98,2001-05-27,Ostrava,,CZE
MTL,8478470,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478470.png,Sam,Montembeault,35,G,L,75,218,191,99,1996-10-30,Becancour,QC,CAN
