team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
NJD,8479414,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479414.png,Nathan,Bastian,14,R,R,76,205,193,93,1997-12-06,Kitchener,ON,CAN
NJD,8479407,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479407.png,Jesper,Bratt,63,L,L,70,175,178,79,1998-07-30,Stockholm,,SWE
NJD,8481032,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481032.png,Paul,Cotter,47,C,L,74,213,188,97,1999-11-16,Canton,MI,USA
NJD,8475413,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475413.png,Justin,Dowling,37,C,L,70,180,178,82,1990-10-01,Calgary,AB,CAN
NJD,8481518,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481518.png,Nolan,Foote,29,L,L,75,196,191,89,2000-11-29,Denver,CO,USA
NJD,8479996,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479996.png,Cody,Glass,12,C,R,75,201,191,91,1999-04-01,Winnipeg,MB,CAN
NJD,8475287,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475287.png,Erik,Haula,56,L,L,71,191,180,87,1991-03-23,Pori,,FIN
NJD,8480002,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480002.png,Nico,Hischier,13,C,L,73,175,185,79,1999-01-04,Brig,,CHE
NJD,8481559,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481559.png,Jack,Hughes,86,C,L,71,175,180,79,2001-05-14,Orlando,FL,USA
NJD,8477508,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477508.png,Curtis,Lazar,42,C,R,72,203,183,92,1995-02-02,Salmon Arm,BC,CAN
NJD,8477073,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477073.png,Kurtis,MacDermid,23,L,L,77,233,196,106,1994-03-25,Quebec City,QC,CAN
NJD,8478414,https://assets.nhle.com/mugs/nhl/20242025/NJD/8478414.png,Timo,Meier,28,R,L,73,220,185,100,1996-10-08,Herisau,,CHE
NJD,8482110,https://assets.nhle.com/mugs/nhl/20242025/NJD/8482110.png,Dawson,Mercer,91,C,R,72,180,183,82,2001-10-27,Carbonear,NL,CAN
NJD,8476474,https://assets.nhle.com/mugs/nhl/20242025/NJD/8476474.png,Stefan,Noesen,11,R,R,73,205,185,93,1993-02-12,Plano,TX,USA
NJD,8476292,https://assets.nhle.com/mugs/nhl/20242025/NJD/8476292.png,Ondrej,Palat,18,L,L,72,194,183,88,1991-03-28,Frydek-Mistek,,CZE
NJD,8478466,https://assets.nhle.com/mugs/nhl/20242025/NJD/8478466.png,Daniel,Sprong,10,R,R,72,195,183,88,1997-03-17,Amsterdam,,NLD
NJD,8475193,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475193.png,Tomas,Tatar,90,L,L,70,173,178,78,1990-12-01,Ilava,,SVK
NJD,8483429,https://assets.nhle.com/mugs/nhl/20242025/NJD/8483429.png,Seamus,Casey,24,D,R,70,162,178,73,2004-01-08,Miami,FL,USA
NJD,8479395,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479395.png,Dennis,Cholowski,44,D,L,74,210,188,95,1998-02-15,Langley,BC,CAN
NJD,8475455,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475455.png,Brenden,Dillon,5,D,L,76,225,193,102,1990-11-13,New Westminster,BC,CAN
NJD,8475208,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475208.png,Brian,Dumoulin,2,D,L,76,214,193,97,1991-09-06,Biddeford,ME,USA
NJD,8476462,https://assets.nhle.com/mugs/nhl/20242025/NJD/8476462.png,Dougie,Hamilton,7,D,R,78,230,198,104,1993-06-17,Toronto,ON,CAN
NJD,8482684,https://assets.nhle.com/mugs/nhl/20242025/NJD/8482684.png,Luke,Hughes,43,D,L,74,198,188,90,2003-09-09,Manchester,NH,USA
NJD,8480192,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480192.png,Johnathan,Kovacevic,8,D,R,77,223,196,101,1997-07-12,Hamilton,ON,CAN
NJD,8483495,https://assets.nhle.com/mugs/nhl/20242025/NJD/8483495.png,Simon,Nemec,17,D,R,73,190,185,86,2004-02-15,Liptovský Mikuláš,,SVK
NJD,8477488,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477488.png,Brett,Pesce,22,D,R,75,206,191,93,1994-11-15,Tarrytown,NY,USA
NJD,8478399,https://assets.nhle.com/mugs/nhl/20242025/NJD/8478399.png,Jonas,Siegenthaler,71,D,L,74,218,188,99,1997-05-06,Zurich,,CHE
NJD,8474596,https://assets.nhle.com/mugs/nhl/20242025/NJD/8474596.png,Jake,Allen,34,G,L,74,197,188,89,1990-08-07,Fredericton,NB,CAN
NJD,8482076,https://assets.nhle.com/mugs/nhl/20242025/NJD/8482076.png,Nico,Daws,50,G,L,76,205,193,93,2000-12-22,Munich,,DEU
NJD,8474593,https://assets.nhle.com/mugs/nhl/20242025/NJD/8474593.png,Jacob,Markstrom,25,G,L,78,207,198,94,1990-01-31,Gavle,,SWE
