team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
OTT,8478020,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478020.png,Michael,Amadio,22,R,R,73,199,185,90,1996-05-13,Sault Ste. Marie,ON,CAN
OTT,8480208,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480208.png,Drake,Batherson,19,R,R,75,200,191,91,1998-04-27,Fort Wayne,IN,USA
OTT,8476393,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476393.png,Nick,Cousins,21,C,L,71,186,180,84,1993-07-20,Belleville,ON,CAN
OTT,8481528,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481528.png,Dylan,Cozens,24,C,R,75,207,191,94,2001-02-09,Whitehorse,YT,CAN
OTT,8478874,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478874.png,Adam,Gaudette,81,R,R,73,187,185,85,1996-10-03,Braintree,MA,USA
OTT,8473512,https://assets.nhle.com/mugs/nhl/20242025/OTT/8473512.png,Claude,Giroux,28,R,R,71,188,180,85,1988-01-12,Hearst,ON,CAN
OTT,8482092,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482092.png,Ridly,Greig,71,C,L,72,188,183,85,2002-08-08,Lethbridge,AB,CAN
OTT,8478146,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478146.png,Matthew,Highmore,15,C,L,71,186,180,84,1996-02-27,Halifax,NS,CAN
OTT,8478173,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478173.png,Hayden,Hodgson,42,R,R,74,221,188,100,1996-03-02,Windsor,ON,CAN
OTT,8474102,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474102.png,David,Perron,57,L,R,72,198,183,90,1988-05-28,Sherbrooke,QC,CAN
OTT,8481596,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481596.png,Shane,Pinto,12,C,R,75,204,191,93,2000-11-12,Franklin Square,NY,USA
OTT,8482116,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482116.png,Tim,Stützle,18,C,L,72,192,183,87,2002-01-15,Viersen,,DEU
OTT,8480801,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480801.png,Brady,Tkachuk,7,L,L,76,225,193,102,1999-09-16,Scottsdale,AZ,USA
OTT,8480188,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480188.png,Fabian,Zetterlund,20,L,R,71,220,180,100,1999-08-25,Karlstad,,SWE
OTT,8478469,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478469.png,Thomas,Chabot,72,D,L,73,203,185,92,1997-01-30,Sainte-Marie,QC,CAN
OTT,8478502,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478502.png,Dennis,Gilbert,6,D,L,74,216,188,98,1996-10-30,Buffalo,NY,USA
OTT,8474612,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474612.png,Travis,Hamonic,23,D,R,72,195,183,88,1990-08-16,St. Malo,MB,CAN
OTT,8475324,https://assets.nhle.com/mugs/nhl/20242025/OTT/8475324.png,Nick,Jensen,3,D,R,72,196,183,89,1990-09-21,Rogers,MN,USA
OTT,8482095,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482095.png,Tyler,Kleven,43,D,L,77,221,196,100,2002-01-10,Fargo,ND,USA
OTT,8484321,https://assets.nhle.com/mugs/nhl/20242025/OTT/8484321.png,Nikolas,Matinpalo,33,D,R,75,211,191,96,1998-10-05,Espoo,,FIN
OTT,8482105,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482105.png,Jake,Sanderson,85,D,L,74,204,188,93,2002-07-08,Whitefish,MT,USA
OTT,8482245,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482245.png,Artem,Zub,2,D,R,75,200,191,91,1995-10-03,Khabarovsk,,RUS
OTT,8476341,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476341.png,Anton,Forsberg,31,G,L,75,198,191,90,1992-11-27,Härnösand,,SWE
OTT,8476999,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476999.png,Linus,Ullmark,35,G,L,76,215,193,98,1993-07-31,Lugnvik,,SWE
