team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
STL,8482737,https://assets.nhle.com/mugs/nhl/20242025/STL/8482737.png,Zack,Bolduc,76,R,L,72,187,183,85,2003-02-24,Trois-Rivières,QC,CAN
STL,8477402,https://assets.nhle.com/mugs/nhl/20242025/STL/8477402.png,Pavel,Buchnevich,89,L,L,73,196,185,89,1995-04-17,Cherepovets,,RUS
STL,8476889,https://assets.nhle.com/mugs/nhl/20242025/STL/8476889.png,Radek,Faksa,12,C,L,75,215,191,98,1994-01-09,Vitkov,,CZE
STL,8482077,https://assets.nhle.com/mugs/nhl/20242025/STL/8482077.png,Dylan,Holloway,81,L,L,73,206,185,93,2001-09-23,Calgary,AB,CAN
STL,8478472,https://assets.nhle.com/mugs/nhl/20242025/STL/8478472.png,Mathieu,Joseph,71,R,L,73,186,185,84,1997-02-09,Laval,QC,CAN
STL,8479385,https://assets.nhle.com/mugs/nhl/20242025/STL/8479385.png,Jordan,Kyrou,25,R,R,73,196,185,89,1998-05-05,Toronto,ON,CAN
STL,8482089,https://assets.nhle.com/mugs/nhl/20242025/STL/8482089.png,Jake,Neighbours,63,L,L,72,201,183,91,2002-03-29,Calgary,AB,CAN
STL,8475170,https://assets.nhle.com/mugs/nhl/20242025/STL/8475170.png,Brayden,Schenn,10,C,L,73,199,185,90,1991-08-22,Saskatoon,SK,CAN
STL,8483516,https://assets.nhle.com/mugs/nhl/20242025/STL/8483516.png,Jimmy,Snuggerud,21,R,R,73,186,185,84,2004-06-01,Minneapolis,MN,USA
STL,8476897,https://assets.nhle.com/mugs/nhl/20242025/STL/8476897.png,Oskar,Sundqvist,70,C,R,75,220,191,100,1994-03-23,Boden,,SWE
STL,8480074,https://assets.nhle.com/mugs/nhl/20242025/STL/8480074.png,Alexandre,Texier,9,L,L,73,201,185,91,1999-09-13,Saint-Martin-d'Hères,,FRA
STL,8480023,https://assets.nhle.com/mugs/nhl/20242025/STL/8480023.png,Robert,Thomas,18,C,R,72,207,183,94,1999-07-02,Aurora,ON,CAN
STL,8480281,https://assets.nhle.com/mugs/nhl/20242025/STL/8480281.png,Alexey,Toropchenko,13,R,L,78,222,198,101,1999-06-25,Moscow,,RUS
STL,8477573,https://assets.nhle.com/mugs/nhl/20242025/STL/8477573.png,Nathan,Walker,26,L,L,69,187,175,85,1994-02-07,Cardiff,,GBR
STL,8481598,https://assets.nhle.com/mugs/nhl/20242025/STL/8481598.png,Philip,Broberg,6,D,L,76,212,193,96,2001-06-25,Orebro,,SWE
STL,8475753,https://assets.nhle.com/mugs/nhl/20242025/STL/8475753.png,Justin,Faulk,72,D,R,72,214,183,97,1992-03-20,South St. Paul,MN,USA
STL,8475764,https://assets.nhle.com/mugs/nhl/20242025/STL/8475764.png,Cam,Fowler,17,D,L,74,210,188,95,1991-12-05,Windsor,ON,CAN
STL,8482516,https://assets.nhle.com/mugs/nhl/20242025/STL/8482516.png,Matthew,Kessel,51,D,R,74,205,188,93,2000-06-23,Bloomfield Hills,MI,USA
STL,8475181,https://assets.nhle.com/mugs/nhl/20242025/STL/8475181.png,Nick,Leddy,4,D,L,72,205,183,93,1991-03-20,Eden Prairie,MN,USA
STL,8476892,https://assets.nhle.com/mugs/nhl/20242025/STL/8476892.png,Colton,Parayko,55,D,R,78,228,198,103,1993-05-12,St. Albert,AB,CAN
STL,8470600,https://assets.nhle.com/mugs/nhl/20242025/STL/8470600.png,Ryan,Suter,22,D,L,73,201,185,91,1985-01-21,Madison,WI,USA
STL,8481006,https://assets.nhle.com/mugs/nhl/20242025/STL/8481006.png,Tyler,Tucker,75,D,L,73,204,185,93,2000-03-01,Thunder Bay,ON,CAN
STL,8476412,https://assets.nhle.com/mugs/nhl/20242025/STL/8476412.png,Jordan,Binnington,50,G,L,74,172,188,78,1993-07-11,Richmond Hill,ON,CAN
STL,8482205,https://assets.nhle.com/mugs/nhl/20242025/STL/8482205.png,Will,Cranley,85,G,L,76,185,193,84,2002-02-26,Peterborough,ON,CAN
STL,8480981,https://assets.nhle.com/mugs/nhl/20242025/STL/8480981.png,Joel,Hofer,30,G,L,77,179,196,81,2000-07-30,Winnipeg,MB,CAN
