team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
TBL,8474715,https://assets.nhle.com/mugs/nhl/20242025/TBL/8474715.png,Cam,Atkinson,13,R,R,68,178,173,81,1989-06-05,Riverside,CT,USA
TBL,8477416,https://assets.nhle.com/mugs/nhl/20242025/TBL/8477416.png,Oliver,Bjorkstrand,22,R,R,72,175,183,79,1995-04-10,Herning,,DNK
TBL,8482070,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482070.png,Mitchell,Chaffee,41,R,R,73,204,185,93,1998-01-26,Grand Rapids,MI,USA
TBL,8478519,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478519.png,Anthony,Cirelli,71,C,L,73,191,185,87,1997-07-15,Etobicoke,ON,CAN
TBL,8483447,https://assets.nhle.com/mugs/nhl/20242025/TBL/8483447.png,Conor,Geekie,14,C,L,76,207,193,94,2004-05-05,Strathclair,MB,CAN
TBL,8476878,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476878.png,Zemgus,Girgensons,28,C,L,75,192,191,87,1994-01-05,Riga,,LVA
TBL,8476822,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476822.png,Luke,Glendening,11,C,R,71,190,180,86,1989-04-28,Grand Rapids,MI,USA
TBL,8482201,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482201.png,Gage,Goncalves,93,C,L,73,184,185,83,2001-01-16,Mission,BC,CAN
TBL,8476826,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476826.png,Yanni,Gourde,37,C,L,69,174,175,79,1991-12-15,Saint-Narcisse,QC,CAN
TBL,8477404,https://assets.nhle.com/mugs/nhl/20242025/TBL/8477404.png,Jake,Guentzel,59,C,L,71,178,180,81,1994-10-06,Omaha,NE,USA
TBL,8479542,https://assets.nhle.com/mugs/nhl/20242025/TBL/8479542.png,Brandon,Hagel,38,L,L,74,180,188,82,1998-08-27,Saskatoon,SK,CAN
TBL,8476453,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476453.png,Nikita,Kucherov,86,R,L,72,180,183,82,1993-06-17,Maykop,,RUS
TBL,8477426,https://assets.nhle.com/mugs/nhl/20242025/TBL/8477426.png,Nick,Paul,20,L,L,76,230,193,104,1995-03-20,Mississauga,ON,CAN
TBL,8478010,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478010.png,Brayden,Point,21,C,R,71,175,180,79,1996-03-13,Calgary,AB,CAN
TBL,8478416,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478416.png,Erik,Cernak,81,D,R,76,230,193,104,1997-05-28,Kosice,,SVK
TBL,8475167,https://assets.nhle.com/mugs/nhl/20242025/TBL/8475167.png,Victor,Hedman,77,D,L,79,245,201,111,1990-12-18,Ornskoldsvik,,SWE
TBL,8482929,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482929.png,Emil,Lilleberg,78,D,L,75,208,191,94,2001-02-02,Sarpsborg,,NOR
TBL,8474151,https://assets.nhle.com/mugs/nhl/20242025/TBL/8474151.png,Ryan,McDonagh,27,D,L,74,219,188,99,1989-06-13,St. Paul,MN,USA
TBL,8482655,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482655.png,J.J.,Moser,90,D,L,74,181,188,82,2000-06-06,Biel,,CHE
TBL,8480246,https://assets.nhle.com/mugs/nhl/20242025/TBL/8480246.png,Nick,Perbix,48,D,R,76,206,193,93,1998-06-15,Elk River,MN,USA
TBL,8478178,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478178.png,Darren,Raddysh,43,D,R,73,202,185,92,1996-02-28,Toronto,ON,CAN
TBL,8477992,https://assets.nhle.com/mugs/nhl/20242025/TBL/8477992.png,Jonas,Johansson,31,G,L,77,218,196,99,1995-09-19,Gavle,,SWE
TBL,8476883,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476883.png,Andrei,Vasilevskiy,88,G,L,76,228,193,103,1994-07-25,Tyumen,,RUS
