team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
TOR,8477503,https://assets.nhle.com/mugs/nhl/20242025/TOR/8477503.png,Max,Domi,11,C,L,70,209,178,95,1995-03-02,Winnipeg,MB,CAN
TOR,8480995,https://assets.nhle.com/mugs/nhl/20242025/TOR/8480995.png,Pontus,Holmberg,29,R,L,72,201,183,91,1999-03-09,Vasteras,,SWE
TOR,8475714,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475714.png,Calle,Jarnkrok,19,C,R,72,191,183,87,1991-09-25,Gavle,,SWE
TOR,8480144,https://assets.nhle.com/mugs/nhl/20242025/TOR/8480144.png,David,Kampf,64,C,L,74,193,188,88,1995-01-12,Chomutov,,CZE
TOR,8482720,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482720.png,Matthew,Knies,23,L,L,75,227,191,103,2002-10-17,Phoenix,AZ,USA
TOR,8476872,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476872.png,Scott,Laughton,24,L,L,73,191,185,87,1994-05-30,Oakville,ON,CAN
TOR,8478904,https://assets.nhle.com/mugs/nhl/20242025/TOR/8478904.png,Steven,Lorentz,18,C,L,76,216,193,98,1996-04-13,Kitchener,ON,CAN
TOR,8478483,https://assets.nhle.com/mugs/nhl/20242025/TOR/8478483.png,Mitch,Marner,16,R,R,72,180,183,82,1997-05-05,Markham,ON,CAN
TOR,8479318,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479318.png,Auston,Matthews,34,C,L,75,217,191,98,1997-09-17,San Ramon,CA,USA
TOR,8482259,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482259.png,Bobby,McMann,74,C,L,74,215,188,98,1996-06-15,Wainwright,AB,CAN
TOR,8477939,https://assets.nhle.com/mugs/nhl/20242025/TOR/8477939.png,William,Nylander,88,R,R,72,202,183,92,1996-05-01,Calgary,AB,CAN
TOR,8474157,https://assets.nhle.com/mugs/nhl/20242025/TOR/8474157.png,Max,Pacioretty,67,L,L,74,217,188,98,1988-11-20,New Canaan,CT,USA
TOR,8471817,https://assets.nhle.com/mugs/nhl/20242025/TOR/8471817.png,Ryan,Reaves,75,R,R,74,225,188,102,1987-01-20,Winnipeg,MB,CAN
TOR,8481582,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481582.png,Nicholas,Robertson,89,L,L,69,178,175,81,2001-09-11,Pasadena,CA,USA
TOR,8475166,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475166.png,John,Tavares,91,C,L,73,211,185,96,1990-09-20,Mississauga,ON,CAN
TOR,8481122,https://assets.nhle.com/mugs/nhl/20242025/TOR/8481122.png,Simon,Benoit,2,D,L,76,211,193,96,1998-09-19,Laval,QC,CAN
TOR,8478443,https://assets.nhle.com/mugs/nhl/20242025/TOR/8478443.png,Brandon,Carlo,25,D,R,77,220,196,100,1996-11-26,Colorado Springs,CO,USA
TOR,8475171,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475171.png,Oliver,Ekman-Larsson,95,D,L,74,192,188,87,1991-07-17,Karlskrona,,SWE
TOR,8475825,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475825.png,Jani,Hakanpää,28,D,R,79,225,201,102,1992-03-31,Kirkkonummi,,FIN
TOR,8476931,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476931.png,Jake,McCabe,22,D,L,73,212,185,96,1993-10-12,Eau Claire,WI,USA
TOR,8477541,https://assets.nhle.com/mugs/nhl/20242025/TOR/8477541.png,Dakota,Mermis,36,D,L,72,197,183,89,1994-01-05,Alton,IL,USA
TOR,8479026,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479026.png,Philippe,Myers,51,D,R,77,219,196,99,1997-01-25,Moncton,NB,CAN
TOR,8476853,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476853.png,Morgan,Rielly,44,D,L,73,225,185,102,1994-03-09,Vancouver,BC,CAN
TOR,8475690,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475690.png,Chris,Tanev,8,D,R,75,199,191,90,1989-12-20,Toronto,ON,CAN
TOR,8476932,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476932.png,Anthony,Stolarz,41,G,L,78,243,198,110,1994-01-20,Edison,NJ,USA
TOR,8479361,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479361.png,Joseph,Woll,60,G,L,75,206,191,93,1998-07-12,Dardenne Prairie,MO,USA
