team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
VGK,8477964,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477964.png,Ivan,Barbashev,49,C,L,72,203,183,92,1995-12-14,Moscow,,RUS
VGK,8481604,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481604.png,Pavel,Dorofeyev,16,L,L,73,194,185,88,2000-10-26,Nizhny Tagil,,RUS
VGK,8478403,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478403.png,Jack,Eichel,9,C,R,74,206,188,93,1996-10-28,North Chelmsford,MA,USA
VGK,8476881,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476881.png,Tomas,Hertl,48,C,L,75,220,191,100,1993-11-12,Praha,,CZE
VGK,8482125,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482125.png,Alexander,Holtz,26,R,R,72,198,183,90,2002-01-23,Stockholm,,SWE
VGK,8479353,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479353.png,Brett,Howden,21,C,L,74,201,188,91,1998-03-29,Calgary,AB,CAN
VGK,8476448,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476448.png,William,Karlsson,71,C,L,72,190,183,86,1993-01-08,Marsta,,SWE
VGK,8478434,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478434.png,Keegan,Kolesar,55,R,R,74,216,188,98,1997-04-08,Brandon,MB,CAN
VGK,8478109,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478109.png,Victor,Olofsson,95,R,L,71,180,180,82,1995-07-18,Ornskoldsvik,,SWE
VGK,8476871,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476871.png,Tanner,Pearson,70,L,L,73,207,185,94,1992-08-10,Kitchener,ON,CAN
VGK,8480007,https://assets.nhle.com/mugs/nhl/20242025/VGK/8480007.png,Jonas,Rondbjerg,46,R,L,74,204,188,93,1999-03-31,Horsholm,,DNK
VGK,8478462,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478462.png,Nicolas,Roy,10,C,R,76,201,193,91,1997-02-05,Amos,QC,CAN
VGK,8476438,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476438.png,Brandon,Saad,20,L,L,73,215,185,98,1992-10-27,Pittsburgh,PA,USA
VGK,8481655,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481655.png,Cole,Schwindt,22,R,R,74,203,188,92,2001-04-25,Kitchener,ON,CAN
VGK,8475191,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475191.png,Reilly,Smith,19,R,L,73,185,185,84,1991-04-01,Mimico,ON,CAN
VGK,8475913,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475913.png,Mark,Stone,61,R,R,75,210,191,95,1992-05-13,Winnipeg,MB,CAN
VGK,8479980,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479980.png,Nicolas,Hague,14,D,L,78,245,198,111,1998-12-05,Kitchener,ON,CAN
VGK,8478396,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478396.png,Noah,Hanifin,15,D,L,75,206,191,93,1997-01-25,Boston,MA,USA
VGK,8477018,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477018.png,Ben,Hutton,17,D,L,75,209,191,95,1993-04-20,Brockville,ON,CAN
VGK,8481527,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481527.png,Kaedan,Korczak,6,D,R,75,203,191,92,2001-01-29,Yorkton,SK,CAN
VGK,8475188,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475188.png,Brayden,McNabb,3,D,L,76,215,193,98,1991-01-21,Davidson,SK,CAN
VGK,8474565,https://assets.nhle.com/mugs/nhl/20242025/VGK/8474565.png,Alex,Pietrangelo,7,D,R,75,215,191,98,1990-01-18,King City,ON,CAN
VGK,8477447,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477447.png,Shea,Theodore,27,D,L,74,197,188,89,1995-08-03,Aldergrove,BC,CAN
VGK,8480727,https://assets.nhle.com/mugs/nhl/20242025/VGK/8480727.png,Zach,Whitecloud,2,D,R,74,210,188,95,1996-11-28,Brandon,MB,CAN
VGK,8478499,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478499.png,Adin,Hill,33,G,L,76,215,193,98,1996-05-11,Comox,BC,CAN
VGK,8478492,https://assets.nhle.com/mugs/nhl/20242025/VGK/8478492.png,Ilya,Samsonov,35,G,L,75,208,191,94,1997-02-22,Magnitogorsk,,RUS
VGK,8481033,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481033.png,Akira,Schmid,40,G,L,77,190,196,86,2000-05-12,Bern,,CHE
