team,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthStateProvince,birthCountry
WPG,8479994,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479994.png,Jaret,Anderson-Dolan,28,C,L,71,200,180,91,1999-09-12,Calgary,AB,CAN
WPG,8478891,https://assets.nhle.com/mugs/nhl/20242025/WPG/8478891.png,Mason,Appleton,22,C,R,74,194,188,88,1996-01-15,Green Bay,WI,USA
WPG,8480289,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480289.png,Morgan,Barron,36,C,L,76,220,193,100,1998-12-02,Halifax,NS,CAN
WPG,8478398,https://assets.nhle.com/mugs/nhl/20242025/WPG/8478398.png,Kyle,Connor,81,L,L,73,183,185,83,1996-12-09,Shelby Township,MI,USA
WPG,8477940,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477940.png,Nikolaj,Ehlers,27,L,L,72,172,183,78,1996-02-14,Aalborg,,DNK
WPG,8481019,https://assets.nhle.com/mugs/nhl/20242025/WPG/8481019.png,David,Gustafsson,19,C,L,74,196,188,89,2000-04-11,Tingsryd,,SWE
WPG,8480113,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480113.png,Alex,Iafallo,9,L,L,72,201,183,91,1993-12-21,Eden,NY,USA
WPG,8480845,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480845.png,Rasmus,Kupari,15,C,R,74,201,188,91,2000-03-15,Kotka,,FIN
WPG,8476392,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476392.png,Adam,Lowry,17,C,L,77,210,196,95,1993-03-29,St. Louis,MO,USA
WPG,8476480,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476480.png,Vladislav,Namestnikov,7,C,L,72,181,183,82,1992-11-22,Zhukovskiy,,RUS
WPG,8475799,https://assets.nhle.com/mugs/nhl/20242025/WPG/8475799.png,Nino,Niederreiter,62,R,L,74,218,188,99,1992-09-08,Chur,,CHE
WPG,8482149,https://assets.nhle.com/mugs/nhl/20242025/WPG/8482149.png,Cole,Perfetti,91,C,L,71,185,180,84,2002-01-01,Whitby,ON,CAN
WPG,8476460,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476460.png,Mark,Scheifele,55,C,R,75,207,191,94,1993-03-15,Kitchener,ON,CAN
WPG,8479293,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479293.png,Brandon,Tanev,73,L,L,72,189,183,86,1991-12-31,Toronto,ON,CAN
WPG,8476952,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476952.png,Dominic,Toninato,21,C,L,74,201,188,91,1994-03-09,Duluth,MN,USA
WPG,8480014,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480014.png,Gabriel,Vilardi,13,C,R,75,216,191,98,1999-08-16,Kingston,ON,CAN
WPG,8476331,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476331.png,Dylan,DeMelo,2,D,R,73,194,185,88,1993-05-01,London,ON,CAN
WPG,8477938,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477938.png,Haydn,Fleury,24,D,L,76,207,193,94,1996-07-08,Carlyle,SK,CAN
WPG,8481572,https://assets.nhle.com/mugs/nhl/20242025/WPG/8481572.png,Ville,Heinola,14,D,L,72,181,183,82,2001-03-02,Honkajoki,,FIN
WPG,8476525,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476525.png,Colin,Miller,6,D,R,73,200,185,91,1992-10-29,Sault Ste. Marie,ON,CAN
WPG,8477504,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477504.png,Josh,Morrissey,44,D,L,72,195,183,88,1995-03-28,Calgary,AB,CAN
WPG,8480145,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480145.png,Neal,Pionk,4,D,R,72,190,183,86,1995-07-29,Omaha,NE,USA
WPG,8480049,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480049.png,Dylan,Samberg,54,D,L,76,216,193,98,1999-01-24,Saginaw,MN,USA
WPG,8474568,https://assets.nhle.com/mugs/nhl/20242025/WPG/8474568.png,Luke,Schenn,5,D,R,74,225,188,102,1989-11-02,Saskatoon,SK,CAN
WPG,8479378,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479378.png,Logan,Stanley,64,D,L,79,231,201,105,1998-05-26,Waterloo,ON,CAN
WPG,8477480,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477480.png,Eric,Comrie,1,G,L,73,190,185,86,1995-07-06,Edmonton,AB,CAN
WPG,8476904,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476904.png,Chris,Driedger,60,G,L,76,210,193,95,1994-05-18,Winnipeg,MB,CAN
WPG,8476945,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476945.png,Connor,Hellebuyck,37,G,L,76,207,193,94,1993-05-19,Commerce,MI,USA
